Source;Target;Type;Id;Label;Weight
0;124;Directed;329;;1.0
0;156;Directed;392;;1.0
1;17;Directed;76;;1.0
1;117;Directed;306;;1.0
1;124;Directed;322;;2.0
1;147;Directed;364;;1.0
1;250;Directed;558;;1.0
1;334;Directed;763;;1.0
1;353;Directed;852;;1.0
6;124;Directed;353;;1.0
6;463;Directed;1046;;1.0
6;467;Directed;1053;;1.0
8;18;Directed;64;;1.0
8;36;Directed;108;;1.0
8;124;Directed;355;;1.0
9;99;Directed;251;;1.0
9;124;Directed;352;;1.0
9;130;Directed;331;;1.0
9;278;Directed;660;;1.0
9;280;Directed;623;;1.0
9;478;Directed;1113;;1.0
10;23;Directed;113;;1.0
10;64;Directed;178;;1.0
10;124;Directed;345;;1.0
10;416;Directed;960;;1.0
11;18;Directed;58;;1.0
11;36;Directed;101;;1.0
11;124;Directed;346;;1.0
12;38;Directed;150;;1.0
12;124;Directed;344;;1.0
13;124;Directed;343;;1.0
13;367;Directed;826;;1.0
15;23;Directed;102;;1.0
15;64;Directed;207;;1.0
15;124;Directed;339;;1.0
15;416;Directed;956;;1.0
16;18;Directed;43;;1.0
16;36;Directed;91;;1.0
16;124;Directed;334;;1.0
20;72;Directed;179;;1.0
20;108;Directed;260;;1.0
20;124;Directed;291;;1.0
20;129;Directed;303;;1.0
20;153;Directed;354;;1.0
20;239;Directed;508;;1.0
20;339;Directed;745;;1.0
20;406;Directed;882;;1.0
20;418;Directed;909;;1.0
20;434;Directed;952;;1.0
20;554;Directed;1239;;1.0
22;124;Directed;285;;1.0
22;382;Directed;837;;1.0
22;416;Directed;902;;1.0
22;484;Directed;1051;;1.0
24;124;Directed;315;;1.0
24;321;Directed;728;;1.0
24;512;Directed;1173;;1.0
25;124;Directed;313;;1.0
25;209;Directed;452;;1.0
25;316;Directed;664;;1.0
25;415;Directed;894;;1.0
29;5;Directed;38;;1.0
29;124;Directed;307;;2.0
29;262;Directed;556;;1.0
29;297;Directed;656;;1.0
29;416;Directed;891;;1.0
29;555;Directed;1231;;1.0
30;124;Directed;309;;2.0
30;354;Directed;798;;1.0
30;371;Directed;836;;1.0
30;479;Directed;1068;;1.0
30;480;Directed;1070;;1.0
30;498;Directed;1136;;1.0
32;124;Directed;305;;1.0
33;124;Directed;301;;1.0
33;250;Directed;532;;1.0
33;445;Directed;993;;1.0
35;124;Directed;299;;1.0
35;162;Directed;380;;2.0
35;270;Directed;597;;1.0
35;456;Directed;966;;1.0
36;18;Directed;41;;3.0
36;36;Directed;86;;1.0
36;124;Directed;293;;3.0
36;253;Directed;543;;1.0
36;375;Directed;830;;2.0
40;124;Directed;276;;1.0
41;124;Directed;272;;1.0
41;162;Directed;349;;2.0
41;270;Directed;568;;1.0
41;456;Directed;934;;1.0
42;18;Directed;1237;;1.0
42;36;Directed;17;;1.0
42;124;Directed;273;;1.0
43;17;Directed;1234;;1.0
43;124;Directed;269;;1.0
43;147;Directed;310;;1.0
43;353;Directed;759;;1.0
45;33;Directed;4;;1.0
45;124;Directed;268;;1.0
45;250;Directed;509;;1.0
45;445;Directed;958;;1.0
49;124;Directed;225;;2.0
50;88;Directed;87;;1.0
50;124;Directed;226;;1.0
50;327;Directed;638;;1.0
50;416;Directed;839;;1.0
50;458;Directed;923;;1.0
56;124;Directed;216;;1.0
56;147;Directed;254;;1.0
56;353;Directed;735;;1.0
57;124;Directed;214;;1.0
57;148;Directed;256;;1.0
57;197;Directed;368;;1.0
57;295;Directed;544;;1.0
57;391;Directed;812;;1.0
57;416;Directed;829;;1.0
60;40;Directed;8;;1.0
60;124;Directed;249;;2.0
60;280;Directed;521;;1.0
60;455;Directed;911;;1.0
60;480;Directed;992;;1.0
60;516;Directed;1086;;1.0
62;124;Directed;240;;2.0
62;162;Directed;304;;1.0
62;270;Directed;526;;2.0
62;383;Directed;744;;1.0
63;124;Directed;239;;1.0
63;431;Directed;886;;1.0
64;23;Directed;1245;;2.0
64;100;Directed;132;;1.0
64;114;Directed;176;;1.0
64;124;Directed;238;;9.0
64;160;Directed;300;;1.0
64;243;Directed;450;;1.0
64;284;Directed;517;;1.0
64;416;Directed;851;;2.0
64;486;Directed;996;;1.0
64;498;Directed;1036;;2.0
65;124;Directed;235;;1.0
65;170;Directed;338;;1.0
65;461;Directed;948;;1.0
66;124;Directed;233;;2.0
66;130;Directed;213;;2.0
